,日期,时间,图片,天气,温度℃,湿度,风力,风级,降水量mm,体感温度℃,云量
21,2019-07-11,夜间,,局部多云,24,56%,清风,5,0,27,12%
22,2019-07-12,白天,,局部多云,37,31%,清风,5,0,34,14%
23,2019-07-12,夜间,,局部多云,27,46%,清风,5,0,30,17%
24,2019-07-13,白天,,局部多云,38,32%,清风,5,0,36,23%
25,2019-07-13,夜间,,周边零星小雨,27,56%,清风,5,0.9,31,33%
26,2019-07-14,白天,,周边雷暴,38,35%,清风,5,1.5,36,54%
27,2019-07-14,夜间,,周边零星小雨,25,62%,清风,5,1.8,29,62%
28,2019-07-15,白天,,局部多云,36,39%,强风,6,0,35,12%
29,2019-07-15,夜间,,局部多云,26,55%,强风,6,0,29,18%
30,2019-07-16,白天,,局部多云,34,43%,劲风,7,0,33,16%
31,2019-07-16,夜间,,周边零星小雨,25,66%,清风,5,1.9,28,49%
32,2019-07-17,白天,,周边零星小雨,31,58%,强风,6,1.4,30,43%
33,2019-07-17,夜间,,周边零星小雨,26,68%,微风,3,3.5,30,65%
34,2019-07-18,白天,,周边零星小雨,36,46%,清风,5,2,36,45%
35,2019-07-18,夜间,,局部多云,26,62%,强风,6,0,30,34%
36,2019-07-19,白天,,局部多云,35,45%,劲风,7,0,35,23%
37,2019-07-19,夜间,,局部多云,25,71%,强风,6,0,29,25%
38,2019-07-20,白天,,多云,31,58%,和风,4,0,32,45%
39,2019-07-20,夜间,,局部多云,19,81%,清风,5,0,28,12%
40,2019-07-21,白天,,局部多云,41,39%,强风,6,0,39,5%
41,2019-07-21,夜间,,局部多云,31,39%,强风,6,0,34,10%
42,2019-07-22,白天,,阴天,40,34%,清风,5,0,39,44%
43,2019-07-22,夜间,,大雨,25,72%,清风,5,72.6,31,90%
44,2019-07-23,白天,,大雨,38,49%,强风,6,32.6,38,28%
45,2019-07-23,夜间,,局部多云,30,58%,微风,3,0,35,4%
46,2019-07-24,白天,,局部多云,40,36%,强风,6,0,42,4%
47,2019-07-24,夜间,,周边零星小雨,27,55%,劲风,7,0.8,34,42%
48,2019-07-25,白天,,周边零星小雨,37,46%,劲风,7,0.5,38,30%
49,2019-07-25,夜间,,周边零星小雨,30,58%,清风,5,0.2,35,17%
50,2019-07-26,白天,,局部多云,41,30%,强风,6,0,41,3%
51,2019-07-26,夜间,,局部多云,31,47%,强风,6,0,36,1%
52,2019-07-27,白天,,局部多云,39,33%,大风,8,0,40,6%
53,2019-07-27,夜间,,局部多云,29,67%,劲风,7,0,35,18%
54,2019-07-28,白天,,局部多云,37,53%,劲风,7,0,42,18%
55,2019-07-28,夜间,,中到大阵雨,29,74%,强风,6,20.6,37,45%
56,2019-07-29,白天,,中到大阵雨,35,72%,大风,8,282.9,35,80%
57,2019-07-29,夜间,,大雨,16,84%,劲风,7,221.4,24,61%
58,2019-07-30,白天,,局部多云,35,53%,劲风,7,0,37,2%
59,2019-07-30,夜间,,局部多云,28,60%,强风,6,0,33,2%
60,2019-07-31,白天,,局部多云,39,42%,清风,5,0,41,1%
61,2019-07-31,夜间,,零星雷雨,29,59%,清风,5,4.1,36,45%
0,2019-08-01,白天,,局部多云,38,43%,劲风,7,0,40,9%
1,2019-08-01,夜间,,中到大阵雨,27,74%,强风,6,26,33,68%
2,2019-08-02,白天,,中到大阵雨,31,65%,强风,6,28.1,32,76%
3,2019-08-02,夜间,,小阵雨,21,81%,清风,5,2.6,25,53%
4,2019-08-03,白天,,局部多云,31,58%,清风,5,0,32,17%
5,2019-08-03,夜间,,局部多云,25,73%,和风,4,0,28,46%
6,2019-08-04,白天,,周边零星小雨,30,67%,清风,5,0.3,31,59%
7,2019-08-04,夜间,,中到大阵雨,25,84%,清风,5,14.5,29,60%
8,2019-08-05,白天,,中到大阵雨,33,60%,劲风,7,7.3,35,76%
9,2019-08-05,夜间,,周边零星小雨,27,74%,和风,4,5.1,32,51%
10,2019-08-06,白天,,小阵雨,33,61%,清风,5,0.5,37,57%
11,2019-08-06,夜间,,中到大阵雨,27,78%,和风,4,24.1,32,57%
12,2019-08-07,白天,,中到大阵雨,32,64%,强风,6,38.8,35,80%
13,2019-08-07,夜间,,中到大阵雨,25,78%,和风,4,7.4,29,42%
14,2019-08-08,白天,,局部多云,35,55%,微风,3,0,37,16%
15,2019-08-08,夜间,,局部多云,28,70%,清风,5,0,32,9%
16,2019-08-09,白天,,周边零星小雨,34,59%,强风,6,1.1,37,35%
17,2019-08-09,夜间,,中到大阵雨,25,83%,清风,5,26.6,30,80%
18,2019-08-10,白天,,中到大阵雨,27,80%,清风,5,47.4,29,71%
19,2019-08-10,夜间,,暴阵雨,23,85%,强风,6,32.5,27,79%
20,2019-08-11,白天,,大雨,23,90%,狂风,10,79.6,25,96%
21,2019-08-11,夜间,,有时大雨,16,83%,狂风,10,23.7,22,90%
22,2019-08-12,白天,,大雨,28,72%,暴风,11,36.3,27,79%
23,2019-08-12,夜间,,大雨,17,83%,大风,8,25.4,23,70%
24,2019-08-13,白天,,周边零星小雨,29,65%,大风,8,1.6,29,72%
25,2019-08-13,夜间,,周边零星小雨,23,69%,清风,5,0.2,26,23%
26,2019-08-14,白天,,局部多云,34,49%,清风,5,0,33,8%
27,2019-08-14,夜间,,局部多云,25,59%,和风,4,0,28,4%
28,2019-08-15,白天,,局部多云,37,49%,强风,6,0,38,2%
29,2019-08-15,夜间,,暴阵雨,23,77%,清风,5,67.2,29,42%
30,2019-08-16,白天,,局部多云,31,50%,烈风,9,0,30,8%
31,2019-08-16,夜间,,局部多云,22,53%,劲风,7,0,27,24%
32,2019-08-17,白天,,局部多云,32,43%,大风,8,0,29,11%
33,2019-08-17,夜间,,局部多云,23,47%,和风,4,0,26,4%
34,2019-08-18,白天,,局部多云,34,39%,和风,4,0,32,4%
35,2019-08-18,夜间,,局部多云,23,56%,强风,6,0,27,5%
36,2019-08-19,白天,,阴天,33,43%,劲风,7,0,31,13%
37,2019-08-19,夜间,,阴天,24,61%,强风,6,0,27,36%
38,2019-08-20,白天,,多云,26,61%,清风,5,0,26,64%
39,2019-08-20,夜间,,多云,22,70%,清风,5,0,25,25%
40,2019-08-21,白天,,局部多云,34,40%,强风,6,0,30,1%
41,2019-08-21,夜间,,局部多云,21,46%,清风,5,0,27,8%
42,2019-08-22,白天,,局部多云,35,31%,清风,5,0,31,11%
43,2019-08-22,夜间,,局部多云,21,45%,清风,5,0,28,12%
44,2019-08-23,白天,,局部多云,31,36%,强风,6,0,29,20%
45,2019-08-23,夜间,,局部多云,23,56%,和风,4,0,27,28%
46,2019-08-24,白天,,局部多云,33,39%,清风,5,0,31,13%
47,2019-08-24,夜间,,局部多云,22,56%,清风,5,0,26,9%
48,2019-08-25,白天,,局部多云,32,42%,清风,5,0,31,12%
49,2019-08-25,夜间,,多云,23,70%,清风,5,0,26,35%
50,2019-08-26,白天,,阴天,29,62%,清风,5,0,29,62%
51,2019-08-26,夜间,,周边零星小雨,23,79%,和风,4,5,27,70%
52,2019-08-27,白天,,周边零星小雨,34,40%,清风,5,0.4,33,21%
53,2019-08-27,夜间,,局部多云,24,41%,强风,6,0,27,5%
54,2019-08-28,白天,,局部多云,32,29%,狂风,10,0,28,17%
55,2019-08-28,夜间,,局部多云,20,40%,烈风,9,0,23,4%
56,2019-08-29,白天,,局部多云,29,35%,大风,8,0,27,8%
57,2019-08-29,夜间,,局部多云,21,45%,劲风,7,0,23,7%
58,2019-08-30,白天,,局部多云,32,34%,强风,6,0,29,6%
59,2019-08-30,夜间,,局部多云,21,46%,清风,5,0,25,8%
60,2019-08-31,白天,,局部多云,33,31%,清风,5,0,30,10%
61,2019-08-31,夜间,,局部多云,22,47%,清风,5,0,26,8%
0,2019-09-01,白天,,局部多云,34,33%,清风,5,0,30,6%
1,2019-09-01,夜间,,局部多云,23,57%,和风,4,0,26,5%
2,2019-09-02,白天,,局部多云,34,36%,清风,5,0,32,5%
3,2019-09-02,夜间,,局部多云,24,58%,清风,5,0,28,3%
4,2019-09-03,白天,,局部多云,35,36%,清风,5,0,32,3%
5,2019-09-03,夜间,,局部多云,23,51%,清风,5,0,27,11%
6,2019-09-04,白天,,局部多云,33,38%,清风,5,0,30,23%
7,2019-09-04,夜间,,局部多云,22,62%,清风,5,0,25,9%
8,2019-09-05,白天,,局部多云,33,36%,清风,5,0,31,9%
9,2019-09-05,夜间,,局部多云,24,52%,清风,5,0,27,6%
10,2019-09-06,白天,,局部多云,35,35%,和风,4,0,32,5%
11,2019-09-06,夜间,,局部多云,23,59%,和风,4,0,27,11%
12,2019-09-07,白天,,局部多云,36,36%,清风,5,0,33,7%
13,2019-09-07,夜间,,局部多云,25,46%,强风,6,0,28,4%
14,2019-09-08,白天,,局部多云,40,28%,和风,4,0,35,5%
15,2019-09-08,夜间,,局部多云,26,44%,和风,4,0,30,7%
16,2019-09-09,白天,,局部多云,33,50%,劲风,7,0,32,16%
17,2019-09-09,夜间,,周边零星小雨,22,67%,劲风,7,0.4,25,53%
18,2019-09-10,白天,,局部多云,29,37%,劲风,7,0,27,31%
19,2019-09-10,夜间,,局部多云,20,50%,清风,5,0,23,38%
20,2019-09-11,白天,,局部多云,27,33%,清风,5,0,25,47%
21,2019-09-11,夜间,,周边零星小雨,21,47%,微风,3,0.3,23,69%
22,2019-09-12,白天,,阴天,26,51%,强风,6,0,26,62%
23,2019-09-12,夜间,,大雨,17,80%,清风,5,45.3,21,85%
24,2019-09-13,白天,,大雨,28,59%,劲风,7,30.6,25,42%
25,2019-09-13,夜间,,局部多云,20,53%,和风,4,0,24,15%
26,2019-09-14,白天,,局部多云,32,39%,和风,4,0,28,16%
27,2019-09-14,夜间,,局部多云,22,50%,清风,5,0,25,5%
28,2019-09-15,白天,,局部多云,31,35%,劲风,7,0,28,5%
29,2019-09-15,夜间,,局部多云,19,51%,劲风,7,0,23,4%
30,2019-09-16,白天,,局部多云,27,31%,劲风,7,0,24,3%
31,2019-09-16,夜间,,局部多云,19,50%,和风,4,0,21,7%
32,2019-09-17,白天,,阴天,30,39%,劲风,7,0,27,29%
33,2019-09-17,夜间,,周边零星小雨,17,42%,大风,8,0.2,21,14%
34,2019-09-18,白天,,局部多云,28,20%,清风,5,0,24,2%
35,2019-09-18,夜间,,阴天,16,37%,强风,6,0,21,68%
36,2019-09-19,白天,,局部多云,27,31%,劲风,7,0,24,32%
37,2019-09-19,夜间,,局部多云,18,36%,清风,5,0,20,35%
38,2019-09-20,白天,,多云,29,37%,和风,4,0,26,49%
39,2019-09-20,夜间,,局部多云,20,47%,清风,5,0,22,42%
40,2019-09-21,白天,,局部多云,28,43%,大风,8,0,26,9%
41,2019-09-21,夜间,,局部多云,18,65%,清风,5,0,20,10%
42,2019-09-22,白天,,局部多云,30,38%,清风,5,0,26,10%
43,2019-09-22,夜间,,局部多云,22,57%,和风,4,0,25,1%
44,2019-09-23,白天,,局部多云,34,31%,清风,5,0,30,1%
45,2019-09-23,夜间,,局部多云,21,36%,强风,6,0,27,6%
46,2019-09-24,白天,,局部多云,31,28%,劲风,7,0,27,3%
47,2019-09-24,夜间,,局部多云,19,67%,和风,4,0,24,1%
48,2019-09-25,白天,,晴朗,33,34%,清风,5,0,30,-
49,2019-09-25,夜间,,晴朗,23,42%,清风,5,0,27,-
50,2019-09-26,白天,,局部多云,34,26%,清风,5,0,29,1%
51,2019-09-26,夜间,,局部多云,22,61%,清风,5,0,26,1%
52,2019-09-27,白天,,局部多云,31,39%,清风,5,0,28,3%
53,2019-09-27,夜间,,局部多云,21,51%,清风,5,0,24,3%
54,2019-09-28,白天,,局部多云,32,31%,清风,5,0,29,7%
55,2019-09-28,夜间,,局部多云,24,45%,清风,5,0,26,1%
56,2019-09-29,白天,,局部多云,34,30%,强风,6,0,30,9%
57,2019-09-29,夜间,,局部多云,24,43%,强风,6,0,26,7%
58,2019-09-30,白天,,局部多云,33,28%,劲风,7,0,29,6%
59,2019-09-30,夜间,,局部多云,23,42%,强风,6,0,26,8%
0,2019-10-01,白天,,局部多云,32,28%,劲风,7,0,28,8%
1,2019-10-01,夜间,,局部多云,21,48%,强风,6,0,25,6%
2,2019-10-02,白天,,局部多云,32,33%,清风,5,0,29,5%
3,2019-10-02,夜间,,局部多云,23,39%,清风,5,0,25,4%
4,2019-10-03,白天,,局部多云,30,42%,劲风,7,0,27,7%
5,2019-10-03,夜间,,阴天,12,52%,烈风,9,0,16,33%
6,2019-10-04,白天,,中雨,12,70%,劲风,7,40,8,85%
7,2019-10-04,夜间,,周边零星小雨,5,45%,强风,6,0.2,9,15%
8,2019-10-05,白天,,局部多云,22,21%,清风,5,0,19,2%
9,2019-10-05,夜间,,阴天,12,28%,微风,3,0,15,26%
10,2019-10-06,白天,,局部多云,20,20%,清风,5,0,19,25%
11,2019-10-06,夜间,,多云,12,48%,强风,6,0,13,39%
12,2019-10-07,白天,,局部多云,24,36%,劲风,7,0,21,1%
13,2019-10-07,夜间,,局部多云,13,32%,劲风,7,0,15,1%
14,2019-10-08,白天,,晴朗,23,17%,清风,5,0,21,-
15,2019-10-08,夜间,,局部多云,14,32%,强风,6,0,16,15%
16,2019-10-09,白天,,局部多云,23,37%,劲风,7,0,22,21%
17,2019-10-09,夜间,,阴天,15,66%,劲风,7,0,16,54%
18,2019-10-10,白天,,阴天,24,61%,清风,5,0,21,42%
19,2019-10-10,夜间,,局部多云,15,76%,强风,6,0,17,26%
20,2019-10-11,白天,,局部多云,21,53%,劲风,7,0,19,23%
21,2019-10-11,夜间,,多云,15,55%,强风,6,0,16,43%
22,2019-10-12,白天,,多云,21,31%,劲风,7,0,19,45%
23,2019-10-12,夜间,,阴天,13,42%,劲风,7,0,15,67%
24,2019-10-13,白天,,周边零星小雨,16,35%,大风,8,0.2,13,79%
25,2019-10-13,夜间,,周边零星小雨,4,55%,强风,6,0.4,7,25%
26,2019-10-14,白天,,晴朗,18,16%,清风,5,0,14,-
27,2019-10-14,夜间,,多云,8,22%,微风,3,0,11,31%
28,2019-10-15,白天,,局部多云,19,18%,清风,5,0,16,6%
29,2019-10-15,夜间,,多云,12,20%,清风,5,0,13,47%
30,2019-10-16,白天,,周边零星小雨,17,41%,强风,6,0.4,12,86%
31,2019-10-16,夜间,,细雨,2,75%,和风,4,1.5,9,84%
32,2019-10-17,白天,,细雨,15,65%,微风,3,0.8,14,69%
33,2019-10-17,夜间,,细雨,12,66%,微风,3,3.7,13,90%
34,2019-10-18,白天,,周边零星小雨,21,45%,微风,3,1.4,19,21%
35,2019-10-18,夜间,,局部多云,15,62%,和风,4,0,16,5%
36,2019-10-19,白天,,多云,24,41%,劲风,7,0,22,12%
37,2019-10-19,夜间,,多云,16,49%,强风,6,0,18,22%
38,2019-10-20,白天,,局部多云,23,22%,劲风,7,0,21,19%
39,2019-10-20,夜间,,晴朗,13,21%,强风,6,0,16,-
40,2019-10-21,白天,,局部多云,22,34%,强风,6,0,18,9%
41,2019-10-21,夜间,,局部多云,14,68%,和风,4,0,15,7%
42,2019-10-22,白天,,局部多云,23,44%,微风,3,0,21,8%
43,2019-10-22,夜间,,阴天,16,58%,和风,4,0,17,72%
44,2019-10-23,白天,,局部多云,25,41%,强风,6,0,22,17%
45,2019-10-23,夜间,,局部多云,18,62%,清风,5,0,19,4%
46,2019-10-24,白天,,小雨,22,52%,大风,8,4.6,18,72%
47,2019-10-24,夜间,,周边零星小雨,6,37%,烈风,9,3.2,5,15%
48,2019-10-25,白天,,局部多云,15,22%,大风,8,0,10,-
49,2019-10-25,夜间,,阴天,8,25%,和风,4,0,9,21%
50,2019-10-26,白天,,局部多云,17,23%,劲风,7,0,14,4%
51,2019-10-26,夜间,,局部多云,11,35%,强风,6,0,11,1%
52,2019-10-27,白天,,晴朗,22,25%,清风,5,0,19,-
53,2019-10-27,夜间,,局部多云,13,28%,烈风,9,0,14,1%
54,2019-10-28,白天,,局部多云,16,15%,台风,12,0,12,1%
55,2019-10-28,夜间,,局部多云,10,19%,强风,6,0,9,1%
56,2019-10-29,白天,,局部多云,19,15%,强风,6,0,17,-
57,2019-10-29,夜间,,局部多云,12,23%,强风,6,0,13,1%
58,2019-10-30,白天,,局部多云,24,20%,和风,4,0,20,1%
59,2019-10-30,夜间,,局部多云,14,26%,清风,5,0,16,6%
60,2019-10-31,白天,,局部多云,26,25%,劲风,7,0,21,1%
61,2019-10-31,夜间,,多云,13,56%,强风,6,0,16,10%
0,2019-11-01,白天,,阴天,17,41%,劲风,7,0,15,74%
1,2019-11-01,夜间,,阴天,13,55%,清风,5,0,13,67%
2,2019-11-02,白天,,阴天,18,47%,清风,5,0,16,67%
3,2019-11-02,夜间,,周边零星小雨,10,50%,劲风,7,0.3,10,60%
4,2019-11-03,白天,,局部多云,15,16%,强风,6,0,13,11%
5,2019-11-03,夜间,,局部多云,8,27%,微风,3,0,10,14%
6,2019-11-04,白天,,局部多云,18,40%,清风,5,0,15,7%
7,2019-11-04,夜间,,局部多云,12,59%,清风,5,0,13,3%
8,2019-11-05,白天,,局部多云,14,46%,大风,8,0,11,6%
9,2019-11-05,夜间,,局部多云,10,62%,和风,4,0,11,12%
10,2019-11-06,白天,,局部多云,18,45%,和风,4,0,16,8%
11,2019-11-06,夜间,,局部多云,7,43%,劲风,7,0,9,13%
12,2019-11-07,白天,,局部多云,15,24%,强风,6,0,10,3%
13,2019-11-07,夜间,,晴朗,8,52%,强风,6,0,7,-
14,2019-11-08,白天,,晴朗,18,41%,清风,5,0,15,-
15,2019-11-08,夜间,,局部多云,13,60%,轻风,2,0,14,-
16,2019-11-09,白天,,局部多云,18,50%,清风,5,0,16,11%
17,2019-11-09,夜间,,中雨,9,66%,烈风,9,20.3,10,91%
18,2019-11-10,白天,,中雨,16,37%,暴风,11,18.4,11,57%
19,2019-11-10,夜间,,局部多云,11,39%,劲风,7,0,10,-
20,2019-11-11,白天,,局部多云,19,30%,清风,5,0,17,1%
21,2019-11-11,夜间,,阴天,12,43%,强风,6,0,12,41%
22,2019-11-12,白天,,多云,20,31%,清风,5,0,17,32%
23,2019-11-12,夜间,,阴天,10,30%,劲风,7,0,12,54%
24,2019-11-13,白天,,局部多云,9,16%,暴风,11,0,3,2%
25,2019-11-13,夜间,,局部多云,0,28%,清风,5,0,1,5%
26,2019-11-14,白天,,局部多云,12,26%,清风,5,0,9,5%
27,2019-11-14,夜间,,阴天,5,40%,清风,5,0,5,24%
28,2019-11-15,白天,,局部多云,10,55%,劲风,7,0,6,2%
29,2019-11-15,夜间,,局部多云,4,67%,强风,6,0,3,30%
30,2019-11-16,白天,,阴天,11,66%,大风,8,0,6,83%
31,2019-11-16,夜间,,阴天,5,76%,劲风,7,0,5,88%
32,2019-11-17,白天,,阴天,14,50%,大风,8,0,9,54%
33,2019-11-17,夜间,,局部多云,-2,15%,暴风,11,0,-2,2%
34,2019-11-18,白天,,局部多云,6,11%,烈风,9,0,-1,1%
35,2019-11-18,夜间,,晴朗,1,15%,强风,6,0,0,-
36,2019-11-19,白天,,局部多云,10,12%,清风,5,0,5,2%
37,2019-11-19,夜间,,局部多云,4,27%,和风,4,0,3,5%
38,2019-11-20,白天,,阴天,11,21%,轻风,2,0,8,26%
39,2019-11-20,夜间,,阴天,3,34%,微风,3,0,5,73%
40,2019-11-21,白天,,阴天,14,35%,清风,5,0,11,56%
41,2019-11-21,夜间,,局部多云,7,55%,轻风,2,0,8,34%
42,2019-11-22,白天,,阴天,15,60%,清风,5,0,12,59%
43,2019-11-22,夜间,,阴天,10,72%,和风,4,0,11,79%
44,2019-11-23,白天,,多云,15,63%,清风,5,0,12,43%
45,2019-11-23,夜间,,细雨,7,70%,强风,6,1.8,7,87%
46,2019-11-24,白天,,多云,6,15%,狂风,10,0,0,20%
47,2019-11-24,夜间,,局部多云,-1,20%,强风,6,0,-3,-
48,2019-11-25,白天,,晴朗,6,15%,和风,4,0,3,-
49,2019-11-25,夜间,,多云,-1,25%,清风,5,0,-2,26%
50,2019-11-26,白天,,阴天,6,26%,清风,5,0,1,45%
51,2019-11-26,夜间,,局部多云,-2,26%,劲风,7,0,-4,16%
52,2019-11-27,白天,,局部多云,5,21%,强风,6,0,-1,2%
53,2019-11-27,夜间,,局部多云,-2,22%,和风,4,0,-3,2%
54,2019-11-28,白天,,局部多云,5,28%,微风,3,0,2,10%
55,2019-11-28,夜间,,局部多云,0,44%,轻风,2,0,1,16%
56,2019-11-29,白天,,零星中雪,5,48%,和风,4,0.7,2,56%
57,2019-11-29,夜间,,零星中雪,2,73%,微风,3,1,2,80%
58,2019-11-30,白天,,零星中雪,7,44%,强风,6,0.4,3,32%
59,2019-11-30,夜间,,阴天,-1,37%,劲风,7,0,-3,57%
0,2019-12-01,白天,,局部多云,5,27%,强风,6,0,0,12%
1,2019-12-01,夜间,,局部多云,-3,31%,大风,8,0,-6,1%
2,2019-12-02,白天,,局部多云,3,22%,大风,8,0,-3,3%
3,2019-12-02,夜间,,局部多云,0,29%,强风,6,0,-3,4%
4,2019-12-03,白天,,局部多云,8,25%,清风,5,0,4,5%
5,2019-12-03,夜间,,局部多云,3,32%,和风,4,0,2,4%
6,2019-12-04,白天,,局部多云,9,30%,强风,6,0,4,2%
7,2019-12-04,夜间,,中雪,-3,68%,劲风,7,0.5,-5,54%
8,2019-12-05,白天,,零星中雪,4,30%,清风,5,0.4,-2,15%
9,2019-12-05,夜间,,局部多云,-6,47%,和风,4,0,-4,3%
10,2019-12-06,白天,,局部多云,4,50%,强风,6,0,-2,16%
11,2019-12-06,夜间,,晴朗,0,63%,和风,4,0,0,-
12,2019-12-07,白天,,晴朗,8,40%,微风,3,0,5,-
13,2019-12-07,夜间,,阴天,0,64%,微风,3,0,1,20%
14,2019-12-08,白天,,阴天,8,53%,和风,4,0,4,20%
15,2019-12-08,夜间,,局部多云,0,58%,微风,3,0,0,11%
16,2019-12-09,白天,,局部多云,9,37%,和风,4,0,5,8%
17,2019-12-09,夜间,,局部多云,2,48%,微风,3,0,4,5%
18,2019-12-10,白天,,局部多云,9,37%,劲风,7,0,3,4%
19,2019-12-10,夜间,,局部多云,1,34%,烈风,9,0,-2,7%
20,2019-12-11,白天,,局部多云,3,22%,狂风,10,0,-4,1%
21,2019-12-11,夜间,,局部多云,-8,25%,和风,4,0,-3,1%
22,2019-12-12,白天,,晴朗,7,21%,清风,5,0,2,-
23,2019-12-12,夜间,,局部多云,1,34%,微风,3,0,1,3%
24,2019-12-13,白天,,局部多云,8,29%,劲风,7,0,2,1%
25,2019-12-13,夜间,,局部多云,0,36%,强风,6,0,-1,5%
26,2019-12-14,白天,,阴天,7,37%,和风,4,0,3,61%
27,2019-12-14,夜间,,局部多云,0,60%,和风,4,0,0,24%
28,2019-12-15,白天,,阴天,7,47%,轻风,2,0,4,71%
29,2019-12-15,夜间,,阴天,-1,51%,微风,3,0,3,100%
30,2019-12-16,白天,,细雨,4,76%,清风,5,1.7,2,100%
31,2019-12-16,夜间,,细雨,-2,68%,大风,8,0.4,-3,32%
32,2019-12-17,白天,,局部多云,4,34%,烈风,9,0,-3,13%
33,2019-12-17,夜间,,局部多云,-3,37%,清风,5,0,-5,11%
34,2019-12-18,白天,,局部多云,2,36%,清风,5,0,-2,31%
35,2019-12-18,夜间,,多云,-3,47%,清风,5,0,-4,38%
36,2019-12-19,白天,,局部多云,0,35%,大风,8,0,-7,9%
37,2019-12-19,夜间,,局部多云,-5,37%,和风,4,0,-7,11%
38,2019-12-20,白天,,局部多云,2,29%,和风,4,0,-2,7%
39,2019-12-20,夜间,,局部多云,-6,38%,微风,3,0,-3,3%
40,2019-12-21,白天,,局部多云,4,42%,和风,4,0,0,6%
41,2019-12-21,夜间,,阴天,-2,57%,清风,5,0,-5,53%
42,2019-12-22,白天,,局部多云,4,63%,清风,5,0,-1,20%
43,2019-12-22,夜间,,局部多云,-2,69%,清风,5,0,-3,11%
44,2019-12-23,白天,,小雪,2,69%,清风,5,0,-2,91%
45,2019-12-23,夜间,,阴天,-3,70%,和风,4,0,-3,75%
46,2019-12-24,白天,,阴天,4,59%,微风,3,0,1,40%
47,2019-12-24,夜间,,小雪,-3,76%,微风,3,0,-2,52%
48,2019-12-25,白天,,阴天,3,55%,强风,6,0,-2,43%
49,2019-12-25,夜间,,中雪,-2,52%,和风,4,0.4,-2,67%
50,2019-12-26,白天,,局部多云,3,34%,强风,6,0,-2,4%
51,2019-12-26,夜间,,局部多云,-5,36%,微风,3,0,-3,2%
52,2019-12-27,白天,,局部多云,6,29%,微风,3,0,2,3%
53,2019-12-27,夜间,,局部多云,-2,48%,和风,4,0,-2,3%
54,2019-12-28,白天,,局部多云,6,50%,和风,4,0,2,4%
55,2019-12-28,夜间,,局部多云,1,71%,微风,3,0,0,3%
56,2019-12-29,白天,,阴天,6,58%,清风,5,0,1,32%
57,2019-12-29,夜间,,阴天,-7,33%,狂风,10,0,-9,40%
58,2019-12-30,白天,,晴朗,-5,21%,暴风,11,0,-15,-
59,2019-12-30,夜间,,晴朗,-13,33%,强风,6,0,-14,-
60,2019-12-31,白天,,晴朗,-2,20%,强风,6,0,-10,-
61,2019-12-31,夜间,,局部多云,-5,20%,微风,3,0,-5,1%
0,2020-01-01,白天,,局部多云,3,20%,轻风,2,0,-1,1%
1,2020-01-01,夜间,,阴天,-5,28%,微风,3,0,-6,55%
2,2020-01-02,白天,,局部多云,2,29%,和风,4,0,-2,20%
3,2020-01-02,夜间,,局部多云,-2,43%,微风,3,0,-2,4%
4,2020-01-03,白天,,局部多云,6,30%,清风,5,0,2,2%
5,2020-01-03,夜间,,局部多云,-1,41%,和风,4,0,-1,12%
6,2020-01-04,白天,,局部多云,7,41%,清风,5,0,2,5%
7,2020-01-04,夜间,,阴天,-2,78%,清风,5,0,-3,36%
8,2020-01-05,白天,,阴天,5,65%,清风,5,0,0,85%
9,2020-01-05,夜间,,大雪,0,91%,清风,5,5,-1,95%
10,2020-01-06,白天,,小雨夹雪,4,83%,和风,4,3,0,79%
11,2020-01-06,夜间,,阴天,0,72%,强风,6,0,-3,48%
12,2020-01-07,白天,,中雪,3,46%,清风,5,0.4,-1,99%
13,2020-01-07,夜间,,零星中雪,-2,44%,劲风,7,0.2,-5,66%
14,2020-01-08,白天,,局部多云,5,30%,强风,6,0,0,2%
15,2020-01-08,夜间,,局部多云,-1,44%,和风,4,0,-1,2%
16,2020-01-09,白天,,多云,5,43%,微风,3,0,2,20%
17,2020-01-09,夜间,,阴天,-2,56%,微风,3,0,-1,65%
18,2020-01-10,白天,,局部多云,4,40%,强风,6,0,-2,12%
19,2020-01-10,夜间,,局部多云,-4,43%,大风,8,0,-7,18%
20,2020-01-11,白天,,阴天,1,38%,和风,4,0,-3,86%
21,2020-01-11,夜间,,阴天,-3,49%,微风,3,0,-3,70%
22,2020-01-12,白天,,局部多云,2,43%,和风,4,0,-2,22%
23,2020-01-12,夜间,,局部多云,-4,43%,清风,5,0,-6,7%
24,2020-01-13,白天,,局部多云,0,26%,劲风,7,0,-6,9%
25,2020-01-13,夜间,,局部多云,-5,36%,强风,6,0,-9,5%
26,2020-01-14,白天,,局部多云,2,30%,微风,3,0,-2,5%
27,2020-01-14,夜间,,局部多云,-8,37%,微风,3,0,-5,12%
28,2020-01-15,白天,,局部多云,2,42%,和风,4,0,-3,21%
29,2020-01-15,夜间,,多云,-4,46%,微风,3,0,-4,31%
30,2020-01-16,白天,,多云,2,35%,和风,4,0,-2,63%
31,2020-01-16,夜间,,阴天,-3,53%,轻风,2,0,-2,88%
32,2020-01-17,白天,,阴天,3,38%,和风,4,0,-1,42%
33,2020-01-17,夜间,,局部多云,-2,44%,和风,4,0,-3,5%
34,2020-01-18,白天,,阴天,4,53%,清风,5,0,0,33%
35,2020-01-18,夜间,,局部多云,-1,42%,大风,8,0,-5,3%
36,2020-01-19,白天,,局部多云,6,26%,强风,6,0,1,1%
